Client- from 11/21,Domain,Cancelled? (as of 12/15),Content Services?,UA?,After  Google Ranking,After  Google Change,After  Google Mobile Ranking,After  Google Mobile Ranking Change,After  Bing Ranking,After  Bing Ranking Change,After  Total Keywords,After  Google Ranking 1,After  Google Ranking 1 Percentage,After  Google Ranking 1-3,After  Google Ranking 1-3 Percentage,After  Google Ranking 1-10,After  Google Ranking 1-10 Percentage,After  Google Mobile Ranking 1,After  Google Mobile Ranking 1 Percentage,After  Google Mobile Ranking 1-3,After  Google Mobile Ranking 1-3 Percentage,After  Google Mobile Ranking 1-10,After  Google Mobile Ranking 1-10 Percentage,After  Bing Ranking 1,After  Bing Ranking 1 Percentage,After  Bing Ranking 1-3,After  Bing Ranking 1-3 Percentage,After  Bing Ranking 1-10,After  Bing Ranking 1-10 Percentage,Before Google Ranking,Before Google Change,Before Google Mobile Ranking,Before Google Mobile Ranking Change,Before Bing Ranking,Before Bing Ranking Change,Before Total Keywords,Before Google Ranking 1,Before Google Ranking 1 Percentage,Before Google Ranking 1-3,Before Google Ranking 1-3 Percentage,Before Google Ranking 1-10,Before Google Ranking 1-10 Percentage,Before Google Mobile Ranking 1,Before Google Mobile Ranking 1 Percentage,Before Google Mobile Ranking 1-3,Before Google Mobile Ranking 1-3 Percentage,Before Google Mobile Ranking 1-10,Before Google Mobile Ranking 1-10 Percentage,Before Bing Ranking 1,Before Bing Ranking 1 Percentage,Before Bing Ranking 1-3,Before Bing Ranking 1-3 Percentage,Before Bing Ranking 1-10,Before Bing Ranking 1-10 Percentage,Percent Change  Google Ranking,Percent Change  Google Change,Percent Change  Google Mobile Ranking,Percent Change  Google Mobile Ranking Change,Percent Change  Bing Ranking,Percent Change  Bing Ranking Change,Percent Change  Total Keywords,Percent Change  Google Ranking 1,Percent Change  Google Ranking 1 Percentage,Percent Change  Google Ranking 1-3,Percent Change  Google Ranking 1-3 Percentage,Percent Change  Google Ranking 1-10,Percent Change  Google Ranking 1-10 Percentage,Percent Change  Google Mobile Ranking 1,Percent Change  Google Mobile Ranking 1 Percentage,Percent Change  Google Mobile Ranking 1-3,Percent Change  Google Mobile Ranking 1-3 Percentage,Percent Change  Google Mobile Ranking 1-10,Percent Change  Google Mobile Ranking 1-10 Percentage,Percent Change  Bing Ranking 1,Percent Change  Bing Ranking 1 Percentage,Percent Change  Bing Ranking 1-3,Percent Change  Bing Ranking 1-3 Percentage,Percent Change  Bing Ranking 1-10,Percent Change  Bing Ranking 1-10 Percentage
AV Specialists,https://avspecialists.com/,No,Yes,UA,7.913242009,0.1415525114,7.310502283,1.771689498,5.684931507,4.077625571,219,48,0.2191780822,76,0.3470319635,181,0.8264840183,65,0.296803653,104,0.4748858447,183,0.8356164384,36,0.1643835616,84,0.3835616438,187,0.8538812785,6.315068493,18.17351598,6.757990868,-0.803652968,4.867579909,13.03196347,219,51,0.2328767123,82,0.3744292237,195,0.8904109589,48,0.2191780822,77,0.3515981735,189,0.8630136986,111,0.5068493151,138,0.6301369863,185,0.8447488584,1.25307303,0.007788944724,1.081756757,-2.204545455,1.167917448,0.3128941836,1,0.9411764706,0.9411764706,0.9268292683,0.9268292683,0.9282051282,0.9282051282,1.354166667,1.354166667,1.350649351,1.350649351,0.9682539683,0.9682539683,0.3243243243,0.3243243243,0.6086956522,0.6086956522,1.010810811,1.010810811
Bethesda Systems,http://www.bethesdasystems.com/,No,Yes,GA4,7.609375,57.796875,7.640625,1.96875,3.84375,21.15625,64,16,0.25,21,0.328125,52,0.8125,16,0.25,25,0.390625,52,0.8125,28,0.4375,42,0.65625,57,0.890625,1.6875,1.078125,0,0,0.96875,-1.828125,64,50,0.78125,53,0.828125,60,0.9375,64,1,64,1,64,1,54,0.84375,58,0.90625,62,0.96875,4.509259259,53.60869565,#DIV/0!,#DIV/0!,3.967741935,-11.57264957,1,0.32,0.32,0.3962264151,0.3962264151,0.8666666667,0.8666666667,0.25,0.25,0.390625,0.390625,0.8125,0.8125,0.5185185185,0.5185185185,0.724137931,0.724137931,0.9193548387,0.9193548387
Beverly Hills,https://bhsmarthomes.com/,No,No,GA4,4.75,71,5.5,-1,3,35.25,4,1,0.25,1,0.25,4,1,1,0.25,1,0.25,4,1,1,0.25,2,0.5,4,1,0,0,0,0,0,0,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1,0.25,0.25,0.25,0.25,1,1,0.25,0.25,0.25,0.25,1,1,0.25,0.25,0.5,0.5,1,1
Bob's Heating,https://www.bobsheating.com/,No,Yes,UA,5.084249084,-1.399267399,6.04029304,-1.80952381,4.84981685,-0.2820512821,273,73,0.2673992674,135,0.4945054945,243,0.8901098901,62,0.2271062271,106,0.3882783883,233,0.8534798535,82,0.3003663004,131,0.4798534799,246,0.9010989011,5.483516484,0.05128205128,4.252747253,-0.2051282051,5.128205128,0,273,61,0.2234432234,105,0.3846153846,254,0.9304029304,76,0.2783882784,119,0.4358974359,259,0.9487179487,87,0.3186813187,160,0.5860805861,234,0.8571428571,0.9271877088,-27.28571429,1.420327304,8.821428571,0.9457142857,#DIV/0!,1,1.196721311,1.196721311,1.285714286,1.285714286,0.9566929134,0.9566929134,0.8157894737,0.8157894737,0.8907563025,0.8907563025,0.8996138996,0.8996138996,0.9425287356,0.9425287356,0.81875,0.81875,1.051282051,1.051282051
Chelsea Audio Video,https://www.chelseaaudiovideo.com/,No,No,UA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Comware AV,https://comwareav.com/,No,Yes,UA,8.613333333,32.89333333,8.893333333,31.66666667,1.12,0.3866666667,75,30,0.4,35,0.4666666667,56,0.7466666667,32,0.4266666667,36,0.48,57,0.76,62,0.8266666667,66,0.88,72,0.96,0,0,0,0,0,0,75,75,1,75,1,75,1,75,1,75,1,75,1,75,1,75,1,75,1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1,0.4,0.4,0.4666666667,0.4666666667,0.7466666667,0.7466666667,0.4266666667,0.4266666667,0.48,0.48,0.76,0.76,0.8266666667,0.8266666667,0.88,0.88,0.96,0.96
Connect IT,http://theconnectcompany.com/,No,No,GA4,0,0,0,0,0,0,16,16,1,16,1,16,1,16,1,16,1,16,1,16,1,16,1,16,1,0,0,0,0,0,0,16,16,1,16,1,16,1,16,1,16,1,16,1,16,1,16,1,16,1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DES,www.des3s.com,No,No,UA,6.048780488,38.68292683,6,45.65853659,2.390243902,18.87804878,41,16,0.3902439024,23,0.5609756098,33,0.8048780488,19,0.4634146341,21,0.512195122,35,0.8536585366,22,0.5365853659,33,0.8048780488,39,0.9512195122,8.317073171,1.658536585,8.536585366,1.853658537,4.536585366,0.6097560976,41,31,0.756097561,31,0.756097561,31,0.756097561,28,0.6829268293,28,0.6829268293,28,0.6829268293,27,0.6585365854,30,0.7317073171,35,0.8536585366,0.7272727273,23.32352941,0.7028571429,24.63157895,0.5268817204,30.96,1,0.5161290323,0.5161290323,0.7419354839,0.7419354839,1.064516129,1.064516129,0.6785714286,0.6785714286,0.75,0.75,1.25,1.25,0.8148148148,0.8148148148,1.1,1.1,1.114285714,1.114285714
Devance,https://devance.tv/,No,Yes,UA,13.7195122,0.1829268293,14.04471545,0.6829268293,4.06504065,0.3902439024,246,72,0.2926829268,78,0.3170731707,142,0.5772357724,80,0.325203252,92,0.3739837398,146,0.593495935,143,0.581300813,159,0.6463414634,204,0.8292682927,11.14285714,18.6031746,11.17063492,0,4.630952381,5.833333333,252,92,0.3650793651,104,0.4126984127,171,0.6785714286,99,0.3928571429,113,0.4484126984,168,0.6666666667,161,0.6388888889,178,0.7063492063,211,0.8373015873,1.231238274,0.009833097478,1.257288914,#DIV/0!,0.8777979811,0.0668989547,0.9761904762,0.7826086957,0.8016967126,0.75,0.7682926829,0.8304093567,0.8506632435,0.8080808081,0.8277900961,0.814159292,0.8340168357,0.869047619,0.8902439024,0.8881987578,0.9098621421,0.893258427,0.9150452179,0.9668246445,0.9904057334
Diode Technologies,https://diodetech.net/,No,No,GA4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Eastern Time,https://eastern-time.com/,No,No,GA4,7.018867925,60.11320755,9.094339623,7.320754717,2.905660377,10.94339623,53,23,0.4339622642,30,0.5660377358,41,0.7735849057,21,0.3962264151,25,0.4716981132,40,0.7547169811,35,0.6603773585,38,0.7169811321,48,0.9056603774,4.327868852,-0.131147541,0.6721311475,0,0.9344262295,0.5245901639,61,52,0.8524590164,53,0.868852459,54,0.8852459016,59,0.9672131148,59,0.9672131148,60,0.9836065574,53,0.868852459,57,0.9344262295,59,0.9672131148,1.621783877,-458.3632075,13.53060285,#DIV/0!,3.109566369,20.86084906,0.868852459,0.4423076923,0.5090711176,0.5660377358,0.6514773941,0.7592592593,0.8738644305,0.3559322034,0.409657819,0.4237288136,0.4876878798,0.6666666667,0.7672955975,0.6603773585,0.7600569598,0.6666666667,0.7672955975,0.813559322,0.9363607291
Electronic Services & Concierge,https://escdenver.com/,No,No,UA,7.5,43.125,7.770833333,44.0625,2.1875,10.875,48,22,0.4583333333,25,0.5208333333,36,0.75,24,0.5,26,0.5416666667,36,0.75,36,0.75,40,0.8333333333,43,0.8958333333,5.333333333,-1.0625,5.270833333,-0.9166666667,1.083333333,-0.7708333333,48,41,0.8541666667,42,0.875,42,0.875,42,0.875,42,0.875,42,0.875,46,0.9583333333,46,0.9583333333,46,0.9583333333,1.40625,-40.58823529,1.4743083,-48.06818182,2.019230769,-14.10810811,1,0.5365853659,0.5365853659,0.5952380952,0.5952380952,0.8571428571,0.8571428571,0.5714285714,0.5714285714,0.619047619,0.619047619,0.8571428571,0.8571428571,0.7826086957,0.7826086957,0.8695652174,0.8695652174,0.9347826087,0.9347826087
Elektri,https://www.elektri.net/,No,No,UA,0,0,0,0,0,0,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,0,0,0,0,0,0,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Elite automation,https://eliteautomation.us/,No,Yes,GA4,19.44117647,22.47058824,15.75,-0.3235294118,3.735294118,0.3529411765,68,14,0.2058823529,22,0.3235294118,31,0.4558823529,20,0.2941176471,28,0.4117647059,37,0.5441176471,38,0.5588235294,42,0.6176470588,60,0.8823529412,12.72058824,48.17647059,0,0,2.676470588,16.89705882,68,28,0.4117647059,30,0.4411764706,44,0.6470588235,68,1,68,1,68,1,43,0.6323529412,48,0.7058823529,63,0.9264705882,1.528323699,0.4664224664,#DIV/0!,#DIV/0!,1.395604396,0.02088772846,1,0.5,0.5,0.7333333333,0.7333333333,0.7045454545,0.7045454545,0.2941176471,0.2941176471,0.4117647059,0.4117647059,0.5441176471,0.5441176471,0.8837209302,0.8837209302,0.875,0.875,0.9523809524,0.9523809524
Elite Technology Solutions,https://elite1988.com/,No,Yes,UA,7.288235294,-0.5470588235,7.023529412,-2.035294118,3.952941176,-2.347058824,170,49,0.2882352941,65,0.3823529412,137,0.8058823529,71,0.4176470588,96,0.5647058824,135,0.7941176471,71,0.4176470588,91,0.5352941176,153,0.9,8.276470588,36.80588235,7.852941176,7.658823529,4.564705882,19.81764706,170,43,0.2529411765,52,0.3058823529,134,0.7882352941,45,0.2647058824,58,0.3411764706,134,0.7882352941,90,0.5294117647,110,0.6470588235,146,0.8588235294,0.8805970149,-0.01486335304,0.8943820225,-0.2657450077,0.8659793814,-0.1184327694,1,1.139534884,1.139534884,1.25,1.25,1.02238806,1.02238806,1.577777778,1.577777778,1.655172414,1.655172414,1.007462687,1.007462687,0.7888888889,0.7888888889,0.8272727273,0.8272727273,1.047945205,1.047945205
Enveron,http://enveronintegration.com/,No,No,GA4,0.5,24.75,0.75,-0.25,0.25,12.5,4,3,0.75,4,1,4,1,3,0.75,4,1,4,1,4,1,4,1,4,1,0,0,0,0,0,0,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1,0.75,0.75,1,1,1,1,0.75,0.75,1,1,1,1,1,1,1,1,1,1
Environ SEO Setup,https://environenergy.com/,No,Yes,UA,13.33766234,21.51948052,11.53246753,13.53246753,0.6493506494,3.675324675,77,49,0.6363636364,52,0.6753246753,59,0.7662337662,54,0.7012987013,56,0.7272727273,61,0.7922077922,65,0.8441558442,74,0.961038961,76,0.987012987,6.38961039,6.701298701,2.766233766,0,0.4155844156,3.636363636,77,67,0.8701298701,68,0.8831168831,69,0.8961038961,71,0.9220779221,72,0.9350649351,72,0.9350649351,70,0.9090909091,75,0.974025974,77,1,2.087398374,3.21124031,4.169014085,#DIV/0!,1.5625,1.010714286,1,0.7313432836,0.7313432836,0.7647058824,0.7647058824,0.8550724638,0.8550724638,0.7605633803,0.7605633803,0.7777777778,0.7777777778,0.8472222222,0.8472222222,0.9285714286,0.9285714286,0.9866666667,0.9866666667,0.987012987,0.987012987
GHT Group SEO Setup,https://ghtgroup.com/,No,Yes,UA,6.047058824,-0.3680672269,5.67394958,1.497478992,3.769747899,2.070588235,595,184,0.3092436975,246,0.4134453782,498,0.8369747899,213,0.3579831933,309,0.5193277311,502,0.843697479,231,0.3882352941,367,0.6168067227,533,0.8957983193,5.455462185,47.08571429,6.778151261,14.45546218,3.43697479,15.28403361,595,194,0.3260504202,262,0.4403361345,520,0.8739495798,170,0.2857142857,220,0.3697478992,484,0.8134453782,283,0.4756302521,403,0.6773109244,533,0.8957983193,1.108441158,-0.007816961736,0.8370939747,0.1035926055,1.096821516,0.1354739389,1,0.9484536082,0.9484536082,0.9389312977,0.9389312977,0.9576923077,0.9576923077,1.252941176,1.252941176,1.404545455,1.404545455,1.037190083,1.037190083,0.816254417,0.816254417,0.9106699752,0.9106699752,1,1
H2 Audio Video,https://h2audiovideo.com/,No,No,GA4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hi Solutions,https://www.hi.solutions,No,Yes,GA4,3.301204819,6,4.975903614,7.759036145,0.2289156627,1.795180723,83,73,0.8795180723,74,0.8915662651,77,0.9277108434,72,0.8674698795,72,0.8674698795,75,0.9036144578,79,0.9518072289,82,0.9879518072,82,0.9879518072,1.077922078,0,0.3051948052,0,0.0974025974,0,154,150,0.974025974,151,0.9805194805,151,0.9805194805,153,0.9935064935,153,0.9935064935,153,0.9935064935,153,0.9935064935,153,0.9935064935,153,0.9935064935,3.062563507,#DIV/0!,16.30402461,#DIV/0!,2.350200803,#DIV/0!,0.538961039,0.4866666667,0.9029718876,0.4900662252,0.9092795021,0.5099337748,0.9461421846,0.4705882353,0.8731396173,0.4705882353,0.8731396173,0.4901960784,0.9095204347,0.5163398693,0.9580281912,0.5359477124,0.9944090086,0.5359477124,0.9944090086
High Tech Solutions Panama,https://www.htspanama.com/,No,No,GA4,0,0,0,0,0,0,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,0,0,0,0,0,0,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
